id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr,trailer_url,video_id
tt13261944,Kung-Fu Zohra,2021,100,"Action,Comedy","['Sabrina Ouazani', 'Ramzy Bedia', 'Eye Haïdara']","['Zohra Hamidi', 'Omar Hamidi', 'Binta']",Mabrouk El Mechri,5.4,725.0,"Zohra is convinced that separating from her husband Omar would break her little girl’s heart and so determines not to leave him despite the violence he metes out. Then she meets Chang Sue, the caretaker of the gym where she works to make ends meet. When she learns that he’s a kung fu master, Zohra asks him to teach her some self-defence basics…",13.466,/uHTgTqZCQN5kd22QlyZMpPcFU3s.jpg,"Persuadée qu’une rupture briserait le cœur de sa petite fille, Zohra n’arrive pas à quitter son mari Omar malgré les violences qu’elle subit. C’est alors qu’elle rencontre un maître de Kung-Fu qui va lui apprendre à se défendre et à rendre désormais coup pour coup !",https://www.youtube.com/watch?v=WjwF9xfC_1g,WjwF9xfC_1g
tt13271264,Mes très chers enfants,2021,95,Comedy,"['Josiane Balasko', 'Didier Bourdon', 'Marilou Berry']","['Chantal Blanc', 'Christian Blanc', 'Sandrine Blanc']",Alexandra Leclère,5.6,627.0,Parents with empty nest syndrome find a clever way to make their kids stay interested: winning the lottery.,3.619,/1G1AsTXPzPNE6QRxqYIUTPRTdmc.jpg,"Chantal et Christian vivent une retraite paisible en banlieue parisienne. Depuis que leurs enfants, Sandrine et Stéphane, ont quitté le nid, ceux-ci ne donnent plus beaucoup de nouvelles. Les occasions de se réunir en famille se font de plus en plus rares… Quand les rejetons annoncent qu’ils ne viendront pas fêter Noël, c'en est trop pour Chantal et Christian! Ils décident alors de leur faire croire qu'ils ont gagné à la loterie et sont devenus multimillionnaires. Une tentative désespérée pour tenter de les faire revenir et un mensonge qui pourrait leur coûter cher…",https://www.youtube.com/watch?v=OR-DFxhLLoM,OR-DFxhLLoM
tt13274576,Oranges sanguines,2021,105,Comedy,"['Alexandre Steiger', 'Christophe Paou', 'Lilith Grasmug']","['Alexandre', 'Stéphane Lemarchand', 'Louise']",Jean-Christophe Meurisse,6.4,1268.0,"Simultaneously, a retired couple overwhelmed by debt tries to win a dance contest, as the minister of economy is suspected of tax evasion, and a teenage girl encounters a sexual maniac, while a young lawyer attempts to climb the social ladder. When the shoe drops, the winner won’t necessarily be the one we expected.",5.527,/qLaYBkXhqPEsJIR4kipMCWt6Of3.jpg,"Au même moment en France, un couple de retraités surendettés tente de remporter un concours de rock, un ministre est soupçonné de fraude fiscale, une jeune adolescente rencontre un détraqué sexuel. Une longue nuit va commencer. Les chiens sont lâchés.",https://www.youtube.com/watch?v=3siYVnnSZTk,3siYVnnSZTk
tt13303648,Louloute,2020,87,Comedy,"['Alice Henri', 'Laure Calamy', 'Bruno Clairefond']","['Louise dit Louloute', 'Isabelle', 'Jean-Jacques']",Hubert Viel,6.2,140.0,"Louise revisits her childhood when her family decides to sell their farm. 20 years ago, she was Louloute, a mischievous and exuberant little girl, helping her father with their farm, fighting with her siblings and worrying her mother… When the family's debts accumulate and overwhelm them, tender childhood moments become intertwined with the harsh adult reality of a disappearing rural world.",3.146,/pG5RONvwUwHS9kGa3zOKkhknkgc.jpg,"À l'occasion de la vente de la ferme familiale, Louise se replonge dans ses souvenirs d'enfance. Vingt ans plus tôt, elle était Louloute, une enfant insouciante et malicieuse. Louise se souvient de ces doux moments de bonheur, vite obscurcis par les dettes de ses parents.",https://www.youtube.com/watch?v=I1UmTxJWzsw,I1UmTxJWzsw
tt13308316,Babysitter,2022,87,Comedy,"['Patrick Hivon', 'Monia Chokri', 'Nadia Tereszkiewicz']","['Cédric', 'Nadine', 'Amy']",Monia Chokri,6.1,1625.0,"After a sexist joke goes viral, Cédric loses his job and embarks on a therapeutic journey to free himself from sexism and misogyny. He and his girlfriend hire a mysterious and liberated babysitter to help shake things up.",4.699,/rWTIfTpZsoMS96TxOwbffg4n9fz.jpg,"Suite à une blague sexiste devenue virale, Cédric, jeune papa, est suspendu par son employeur. Pour se racheter, il va avec l'aide de son frère Jean-Michel, s'interroger sur les fondements de sa misogynie à travers l’écriture d’un livre. De son côté, sa femme Nadine en proie à une dépression décide d'écourter son congé maternité. L’arrivée dans leur vie d’une baby-sitter au charme espiègle et envouteur, va chambouler leur existence.",https://www.youtube.com/watch?v=Gqmx826TnCw,Gqmx826TnCw
tt13321730,La fracture,2021,99,Comedy,"['Valeria Bruni Tedeschi', 'Marina Foïs', 'Pio Marmaï']","['Raphaëlle Catania dite Raf', 'Julie Bataille', 'Yann Caron']",Catherine Corsini,6.6,1582.0,"Raf and Julie, a couple on the verge of breaking up, find themselves in an emergency ward bordering on collapse on the evening of a Parisian Yellow Vest protest. Their encounter with Yann, an angry and injured demonstrator, will shatter each person's certainties and prejudices. Outside, the tension escalates.",7.143,/cqVOQH55iqIX3dRBoq0DoRpDXOf.jpg,"Raf et Julie, un couple au bord de la rupture, se retrouvent dans un service d'urgences proche de l'asphyxie le soir d'une manifestation parisienne de Gilets Jaunes. Personnel débordé, manifestants blessés et en colère vont faire voler en éclats les certitudes et les préjugés des deux femmes. Sans compter leur rencontre avec Yann, un manifestant blessé. À l'extérieur, la tension monte, l'hôpital se retrouve assiégé. La nuit va être longue...",https://www.youtube.com/watch?v=A1yXj3cYRvA,A1yXj3cYRvA
tt13321782,Le petit piaf,2021,95,Comedy,"['Marc Lavoine', 'Soan Arhimann', 'Gérard Jugnot']","['Pierre Leroy', 'Nelson', 'M. Lepetit']",Gérard Jugnot,5.3,99.0,"In a village somewhere on Reunion Island, Nelson, 10, dreams of being a singer and has signed up for Star Kids. Her friend Mia, accompanied by her little brother Zizou, decides to find a coach for her to help her prepare for the competition. His choice fell on Pierre Leroy, singer coming from Paris on a singing tour in a hotel by the sea, where Nelson's mother works. But the current does not pass between Pierre, lonely and disillusioned, and Nelson, proud and obstinate. Will their one thing in common, the love of singing, be strong enough to bring them together and heal their wounds?",3.542,/auzycsCKtxg2hWWe2PtRo48Topk.jpg,"Dans un village de La Réunion, Nelson, 10 ans, rêve de devenir un grand chanteur et ainsi rendre fière sa mère qui l’élève seule. Après avoir postulé à l’émission télévisée Star Kids avec l’aide de ses amis Mia et Zizou, ils décident de trouver un coach pour préparer son concours. Par chance, Pierre Leroy, chanteur célèbre à la carrière en berne, est en tournée sur l’île. Mais le courant passe difficilement entre Pierre, solitaire et désenchanté, et Nelson fier et obstiné. Leur seul point commun, l’amour du chant. Sera-t-il assez fort pour les rapprocher ? Assez fort pour que Nelson renoue avec sa mère et que Pierre retrouve l’envie de ses débuts ?",https://www.youtube.com/watch?v=u3x2dMMsrpY,u3x2dMMsrpY
tt13353386,Tendre et saignant,2020,91,Comedy,"['Géraldine Pailhas', 'Arnaud Ducret', 'Alison Wheeler']","['Charly Fleury', 'Martial Toussaint', 'Carole Katayan']",Christopher Thompson,5.8,476.0,"Charly is the editor in chief of a fashion magazine. When her father dies, she inherits the family business: a butchery. Not exactly her passion in life... She’s about to sell it when Mar- tial, who worked for her father, wants to take it over, but she is having second thoughts. These two opposite characters will have to get used to one another.",4.864,/vBMlMuGMQw5Q6XdpEyo0ThJ9r7Z.jpg,"Charly Fleury a choisi de vivre et de travailler dans un monde futile et stérile : la Mode. Elle est rédactrice en chef d’un magazine de mode, entourée de personnes névrosées, superficielles. Ce choix professionnel pour fuir la boucherie familiale dans laquelle elle a grandie. Mais son père est fatigué, cardiaque, il vient lui proposer une association qu'elle refuse. Et il décède d'une nouvelle attaque. Elle hérite de l'établissement, du personnel et de la clientèle. Fêtes de fin d'années obligent, Charly accepte de gérer le commerce mais passé la période, elle vend ! Martial Toussaint, second de la boucherie, ancien commis du défunt, très attaché à la boucherie ne l'entend pas ainsi. Et si ensemble ils parvenaient à conjuguer leurs compétences pour rendre l'activité florissante ? Pourc cela, il va falloir cohabiter...",https://www.youtube.com/watch?v=QUJyzWq_IB8,QUJyzWq_IB8
tt13361648,Le nouveau jouet,2022,112,Comedy,"['Jamel Debbouze', 'Daniel Auteuil', 'Simon Faliu']","['Sami Cherif', 'Philippe Étienne', 'Alexandre']",James Huth,5.9,1510.0,"Samy lives happily with his wife, Alice, in a poor urban housing project amongst friends and neighbours. For his son’s birthday, the richest man in France throws open his grand department store, offering the boy whatever he wants. Alexandre chooses Samy, the night watchman, as his new toy…",7.064,/sNIHZpKv3RKTgP5m7Vdfxk8XtFT.jpg,"Pour l'anniversaire de son fils Alexandre, l'homme le plus riche de France privatise un grand magasin qui lui appartient. Contre toute attente, l'enfant décide alors de choisir Sami, le gardien de nuit, comme nouveau jouet...",https://www.youtube.com/watch?v=5GYxi69htGM,5GYxi69htGM
tt13371942,Le temps des secrets,2022,104,Comedy,"['Léo Campion', 'Guillaume de Tonquédec', 'Mélanie Doutey']","['Marcel Pagnol', 'Joseph Pagnol', 'Augustine Pagnol']",Christophe Barratier,6.4,472.0,"Marseille, July 1905. Nearly a teenager, Marcel Pagnol embarks in his last summer vacation before high school and returns, at last, to his beloved hills in Provence. What begins as a summer of boyhood adventures becomes one of the first loves, and unearthed secrets.",3.025,/o77s2I2uPKPGVm0Gve4Gcvr3UbM.jpg,"Marseille, juillet 1905. Le jeune Marcel Pagnol vient d'achever ses études primaires. Dans trois mois, il entrera au « lycée ». Trois mois... une éternité quand on a cet âge. Car voici le temps des vacances, les vraies, les grandes ! Enfant de la ville, ce retour tant attendu à ses chères collines d'Aubagne, celles de « La Gloire de mon père » et « Le Château de ma mère » le transporte de bonheur. Il y retrouve la nature, les grands espaces et surtout son ami Lili. Mais sa rencontre inopinée avec Isabelle, une petite châtelaine au charme vénéneux viendra bouleverser ce bel équilibre estival, à l'âge où le temps de l'insouciance laisse place à celui des secrets.",https://www.youtube.com/watch?v=RFpGLeipEBA,RFpGLeipEBA
