id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr
tt14663154,Les âmes soeurs,2023,100,Drama,"['Noémie Merlant', 'Benjamin Voisin', 'Audrey Dana']","['Jeanne Fabert', 'Le lieutenant David Fabert', 'Rachel Vogel']",André Téchiné,5.8,245.0,"Lieutenant of the French forces engaged in Mali, David Faber is seriously burned during the explosion of his armored vehicle. Repatriated to France for intensive care, he must begin a long convalescence, under the worried but devoted gaze of his sister Jeanne. They meet again in the family house in the Alps, between mountains, lake and forests. Jeanne tries to reconnect her brother with the past, but David, who suffers from amnesia after the accident, does not seem to be interested in reconciling with the man he used to be.",3.216,/kOzfTboDCsjjuILpFGMOjVmMzXI.jpg,"David, lieutenant des forces françaises engagées au Mali, est grièvement blessé dans une explosion.  Rapatrié en France, il souffre d’amnésie et commence une longue convalescence sous le regard dévoué de sa sœur Jeanne.  Dans la maison familiale des Pyrénées, entre montagnes et lacs, Jeanne tente de raviver sa mémoire, mais David ne parait pas soucieux de se réconcilier avec celui qu’il était."
tt14668028,Nouveau Québec,2021,96,Drama,"['Christine Beaulieu', 'Jean-Sébastien Courchesne', 'Jean-Luc Kanapé']","['Sophie', 'Mathieu', 'Jean-Louis']",Sarah Fortin,6.0,53.0,"Accompanied by her lover, Sophie travels to the Côte-Nord to honour her late father’s last wishes: namely, to have his ashes scattered in Schefferville, the place where he’d spent much of his life before the mine closed. When tragedy strikes, the couple find themselves trapped in a near-ghost town whose past secrets begin to bubble back up to the surface. A spine-tingling thriller set way, way out of the city, Fortin’s splendidly crafted first feature, anchored in the Innu community of Matimekush, ventures into an isolated region to set the stage for an authentic encounter between the quintessential city slicker and nature.",1.599,/nCLEjBYM7QthDl7n5fmsiAiXpVZ.jpg,"Sophie et Mathieu, un couple dans la trentaine, se rendent à Schefferville pour régler la succession du chalet du père de Sophie, ancien mineur dans ce village quasi-fantôme. Sur place, Sophie retrouve Réjean, son oncle, ancien mineur lui aussi. Mais lorsqu’un incident tragique impliquant Réjean se produit sur les lieux, avec Mathieu comme seul témoin, le voyage prend une tournure insoupçonnée."
tt14678156,Confessions,2022,109,"Action,Crime,Drama","['Luc Picard', 'Éveline Gélinas', 'Emmanuel Charest']","['Gérald Gallant', 'Pauline', 'Sergent Claude St-Cyr']",Luc Picard,6.3,737.0,"A paid assassin working for the biker gangs of Quebec outsmarts both the police and the underworld for decades, committing 28 hits over 25 years.",7.502,/sFGkKtWq9rvb7AriX39369FRssP.jpg,"Gérald Gallant a été élevé par une mère dure et sévère qui n'hésitait pas à le diminuer aux yeux de tous. L'homme bègue et cardiaque à la santé fragile mène désormais une existence paisible dans un quartier tranquille de Montréal. Derrière cette façade se cache le tueur à gages pour deux clans mafieux de motards du Canada ! Déjouant les plans de la police et de la pègre pendant des décennies, commettant vingt-huit attentats en vingt-cinq ans d'activité, il est arrêté en 2006 à Bruxelles. Il est temps de se confesser…"
tt14681010,Farador,2023,104,"Comedy,Fantasy","['Eric K. Boulianne', 'Catherine Brunet', 'Catherine Brunet']","['Charles', 'Kim', 'Kimala']",Edouard Tremblay,6.7,316.0,"Charles and his two roommates spend most of their time playing Farador's World, a Dungeon and Dragons type role-playing game. The arrival of her sister Kim will change the routine for those young people.",2.362,/sbswmMTg6a3ikYjWNNFTNrEwXLR.jpg,"Excellent maître de jeu de rôles de type «Donjons & Dragons», Charles fuit les contraintes du quotidien en passant tous ses temps libres à diriger les parties dans le Monde de Farador, pour le plus grand bonheur de ses deux colocs et amis de toujours, Louis et Guillaume. Mais, le retour inattendu de sa sœur au pays viendra perturber la petite routine de nos adolescents. En proie à une profonde crise existentielle, Kim mettra tout en œuvre pour que Charles réalise ses rêves alors que les deux autres vont tout faire pour l’en empêcher. Dès lors, les affrontements dans le monde fantastique et dans la vie réelle prendront une nouvelle dimension. Ce sera… la légendaire Bataille de Farador !"
tt14700948,Friendzone,2021,88,"Comedy,Romance","['Mickaël Lumière', 'Manon Azem', 'Fadily Camara']","['Thibault', 'Maud', 'Lulu']",Charles Van Tieghem,5.9,4553.0,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend?,12.043,/eAijMbeJTjBbjnevbtRve4sWGxf.jpg,"N'en pouvant plus des relations platoniques, Thibault croit voir sa chance tourner lorsqu'il rencontre Rose. Mais comment passer de meilleur pote à petit ami ?"
tt14718126,Pilote,2022,74,"Action,Thriller","['Hugo Becker', 'Eye Haïdara', 'Kahina Carina']","['Daniel', 'Carine', 'Anya']",Paul Doucet,5.9,103.0,A drone pilot in Mali whose wife and daughter are kidnapped by terrorists. They will be executed if he doesn't derail the capture by his team of the head of a jihadist network.,2.267,/jogBHo7EvdzJqPj8kAyqtYQcIxP.jpg,"Après plusieurs mois de traque, l’armée française au Mali a retrouvé la trace d’une cellule djihadiste locale. Daniel et ses hommes couvrent les troupes au sol et veillent à ce que l’opération se déroule sans problème. Mais au même moment, la famille de Daniel est prise en otage à leur hôtel par des terroristes. Ces derniers veulent obliger Daniel à faire capoter la mission en échange de sa famille. S’il ne se retourne pas contre ses propres hommes, sa femme et sa fille se feront tuer. Daniel va tout faire pour sauver sa famille et va donc se retrouver devant des choix cornéliens, aux conséquences très lourdes."
tt14760906,Grand marin,2022,84,Drama,"['Dinara Drukarova', 'Sam Louwyck', 'Björn Hlynur Haraldsson']","['Lili', 'Ian', 'Jude']",Dinara Drukarova,6.0,84.0,"Lili has left everything behind to travel to the edge of the earth and accomplish her dream, fishing the Northern seas. She persuades Ian, the captain of a trawler by the name of Rebel, to give her a chance and let her join the crew. The only woman on board, they call her Sparrow. Hidden behind a frail appearance is a will of steel, and her courage and determination ultimately win over their respect. Adopted into this world of often unfortunate individuals, Lili will conquer her right to live differently, free. Debut film.",1.4,/p4hqHHHF9y3sXsZbJczT3WBSITT.jpg,"Lili a tout quitté pour partir au bout du monde réaliser son rêve : pêcher sur les mers du Nord. Elle persuade Ian, capitaine de chalutier, de lui donner sa chance. Solitaire et insaisissable, le « moineau » devient la seule femme de l’équipage..."
tt14766300,Un petit miracle,2023,92,Comedy,"['Alice Pol', 'Jonathan Zaccaï', 'Eddy Mitchell']","['Juliette', 'Antoine', 'Édouard']",Sophie Boudre,5.4,83.0,"Nothing goes well for Juliette! The school where she used to teach has burned down, and her unique class will have to be dispatched to the four corners of the department. To avoid this, she proposes a surprising solution: to install her class at the Poppies, the local old people's home, the only place that can accommodate them for the time of the work. For the children as well as for the residents, the cohabitation will not be easy, but will transform them forever. Inspired by a true story.",2.232,/htSAdE5h2owQTcu8yMQO6V4qYwI.jpg,"Juliette est aux abois : l’école dans laquelle elle enseignait a brûlé et sa classe unique va devoir être dispatchée aux quatre coins du département… Son unique recours : faire classe aux Coquelicots, l’EPHAD local, seul endroit qui puisse les accueillir le temps des travaux. Si l’idée froisse d’abord Antoine, son directeur surmené, force est de constater que dès les premiers jours, les résultats sont là. Pour les enfants comme pour les pensionnaires âgés, rien ne sera désormais plus comme avant."
tt14775312,Vous n'êtes pas Ivan Gallatin,2022,95,Thriller,"['Antonio Buíl', 'Roland Vouilloz', 'Nadim Ahmed']","['Juan Ali', 'JD', 'Abdel']",Pablo Martín Torrado,8.2,11.0,"One day, you receive a present. And then another. And on and on. Till the present isn't a present anymore. It's a nightmare. And all because YOU are not Ivan Gallatin.",0.8,/rKYFNw3cgPFAMKtJoe9QCZOT0RC.jpg,
tt14775496,Freda,2021,93,Drama,"['Nehemie Bastien', 'Gaëlle Bien-Aimé', 'Djanaina Francois']","['Freda', 'Géraldine', 'Esther']",Gessica Geneus,6.4,264.0,"Freda lives with her mother, sister and little brother in a popular neighbourhood of Haiti. They survive with their little street food shop. The precariousness and violence of their daily life pushes them to do everything they can to escape their situation in the hope of finding a better life.",1.4,/yqmkq3q98ipmsAQCO9rciJLPDfK.jpg,"Ce film est présenté dans la sélection Un Certain regard du Festival de Cannes 2021  Freda habite avec sa famille dans un quartier populaire de Port-au-Prince. Ils survivent grâce à leur petite boutique de rue. Face à la précarité et la montée de la violence en Haïti, chacun se demande s’il faut partir ou rester. Freda veut croire en l’avenir de son pays."
tt14778456,Annie colère,2022,119,"Comedy,Drama","['Laure Calamy', 'Zita Hanrot', 'India Hair']","['Annie', 'Hélène', 'Claudine']",Blandine Lenoir,6.9,775.0,"Annie becomes pregnant. Since she doesn't want to keep the child, she meets a movement that performs illegal abortions. But, in the seventies, Annie will encounter allies and opponents along the way.",7.944,/jfd6TH4B8QgJbxt7FTDNPA68bHF.jpg,"Février 1974. Parce qu’elle se retrouve enceinte accidentellement, Annie, ouvrière et mère de deux enfants, rencontre le MLAC – Mouvement pour la Liberté de l’Avortement et de la Contraception qui pratique les avortements illégaux aux yeux de tous. Accueillie par ce mouvement unique, fondé sur l’aide concrète aux femmes et le partage des savoirs, elle va trouver dans la bataille pour l’adoption de la loi sur l'avortement un nouveau sens à sa vie."
tt14793714,Les Folies fermières,2022,109,"Comedy,Drama","['Alban Ivanov', 'Sabrina Ouazani', 'Michèle Bernier']","['David', 'Bonnie', 'Mireille']",Jean-Pierre Améris,5.8,280.0,"David, a young farmer from Cantal, has just had an idea: to save his farm from bankruptcy, he is going to set up a cabaret on the farm. The show will be on stage and on the plate, with good local products. He is sure, it can only work. His relatives, his mother and especially his grandfather, are more skeptical.",3.104,/n59B3omT4VnKGeOkBLAGe7wfGXH.jpg,"David, jeune paysan du Cantal, vient d’avoir une idée : pour sauver son exploitation de la faillite, il va monter un cabaret à la ferme. Le spectacle sera sur scène et dans l’assiette, avec les bons produits du terroir. Il en est sûr, ça ne peut que marcher ! Ses proches, sa mère et surtout son grand-père, sont plus sceptiques."
